COD_RESTAURANTE,NOME,CATEGORIA,DESCRICAO,ENDERECO,IMAGEM
21,"Costela na Brasa",Restaurante,"No Costela na Brasa, os amantes de uma boa carne encontram sabor de verdade. Carnes preparadas na brasa, com aquele aroma irresistível e o sabor marcante que combina perfeitamente com uma refeição especial.","RUA SERRA DA TABATINGA, 1028",.
23,"VIVI MOIMESSO",Doceria,"Na Vivi Moimesso, cada doce é preparado para transformar momentos simples em lembranças deliciosas. Doces feitos com carinho, capricho e muito sabor para adoçar suas comemorações ou deixar qualquer dia mais especial.","AVENIDA SERRA ESPERANÇA, 930",.
24,"Seband Paes",Padaria,"Oferecemos pães fresquinhos, deliciosos doces, salgados e opções para aquele café especial, sempre buscando qualidade, sabor e aquele gostinho de feito com carinho.

Seja para começar bem o dia, fazer uma pausa para um café ou levar algo gostoso para casa, a Seband Pães é o lugar certo para você!","AVENIDA SERRA ESPERANÇA, 988",.
26,"Casa da Pizza",Pizzaria,"A Casa da Pizza é o lugar certo para quem ama uma pizza bem preparada e cheia de sabor. Com opções deliciosas e recheios caprichados, é perfeita para reunir a família e os amigos em torno de uma boa pizza.","AVENIDA SERRA ESPERANÇA, 1000",.
27,"ESTAÇÃO 18 ESPETARIA",Espetaria,"Na Estação 18 Espetaria, o sabor encontra a brasa! Espetinhos e delícias preparados com muito capricho para acompanhar aquele encontro com os amigos, um happy hour ou simplesmente matar a vontade de comer algo especial.","RUA SERRA DOIS IRMÃOS, 275",.
28,"BIG DOG LANCHES",Lanchonete,"Nada mlhor que lanche quando bate aquela fome não é memo? Experimente as nossas opções e garantimos que ficará surpreendido!","RUA SERRA GRANDE, 279",.
29,"SR.HOT DOG",Lanchonete,"Há mais de uma década preparando lanche com sabor e capricho. No Sr.Hot Dog, voc^encontra hot dogs bem sevidos Dog Burguer Queijo, proções e refeições para matar a fome no jantar. Ingredientes combinados com o padrão da casa e opções para diferentes momentos. Escolha seu hot dog ou burguer favorito, complete o pedido com uma porção.","SERRA DO MARACAJU, 1750",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnimafC4Ccs1wC_LcCsIkw_osXvu4byH-dZha5vulDSVxt0Njyvdp8CeeIMgY8mjS37ttUgTp6Puaq-hBF0ag7TFS-WPJCXSkr878u3-jFcMSuCSYjZ4vbeZ8dyxsvIcH9fD5c=s680-w680-h510-rw
30,BIGGS,Lanchonete,"Biggs, hot dog prensado, burguer artesanal, combo lanche, pastel frito, pizza salgada e doce, etc.","AV. ARTHUR THOMAS, 1248",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJmpUc1OWIQq3xSpo-JQHo3E2nGuqxgNIXYk1M2OupZZ-NhHH3aBqx-rGY&s=10
31,"RATINHO LANCHES",Lanchonete,"Aqui você encontra os melhores lanches preparados com a qualidade que você merece!","AV.ARTHUR THOMAS, 1406",https://lh3.googleusercontent.com/grass-cs/ACvplmP7lNBPVr_EdM7PdBfpQSMEP8AS0QtfF6UrcuWr3WR28piArxIS7eMxzpMqh5ZJhH5vHSwQEKyu8NATshLF_MVUNwrkzC2eRI61mpvyDWLYsmIO4LFuD5vrsTuS4ptnZZtkzCwsuw=w326-h312-n-k-no
32,"PIZZARIA FRANGOSO",Pizzaria,"Pizzaria Frangoso é mais recheio é mais gostoso!!","ARTHUR THOMAS, 1494",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaVj96_HIS8Yhnf3nBEZG1o3KelyApKHoZoot7oFag4A&s=10
33,"RESTAURANTE D’FAMILIA",Restaurante,"Comida caseira de verdade, feita todos os dias com temperos especiais. Marmitas bem servidas, com qualidade, carinho e preço justo para matar sua fome."," ARTHUR THOMAS, 1622",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=goYNMjQ-crnAk4BK3UAb8Q&cb_client=search.gws-prod.gps&w=640&h=640&yaw=334.99228&pitch=0&thumbfov=100
34,"CHURRASCARIA CHIMARRÃO","Churrascaria & Marmitaria","Currasco, Churrascaria, Picanha, Filé Mignon, Carne assada, Marmitex, Marmita, Carne, Comida Brasileira, Rodízio.","AV. TIRADENTES, 3165 ",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk4nHThJ36k-s0vhfyDS3a71fQbeIjtjbOhrfzrS1FX0_3N38MmFP0e_Z7K5LywqaBGQyresFc9JeuFdF1IH9rza90zsaOxjEC69bGJM8oy2URS5iiRNopE4qhkuwGlZI9JfZHuQbt1XUc=s680-w680-h510-rw
38,"HOT DOGS DELIVERY",Lanchonete,"Trabalhamos com a melhor qualidade de alimentos, para entregar o melhor da região. ","RUA DOMINGOS JORGE VELHO 1085",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkb-XM7AcGReoLLZB8rGOCW9Gf1cMOqwsdttitNdopkzcEEKOHQ7J0YloycMeNP_sMizk2uCoiI51N81j7Jq2Of93_wrtgwU7dwDSsZzKN_rONEpa87s-NqzVgqLChMvHutwG8=s680-w680-h510-rw
40,FLOW,Restaurante,"A FLOW se propõe a descomplicar a rotina de quem busca seu ritmo. Sendo saudável sem ser chato!","AV.AYRTON SENNA DA SILVA, 160",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL5KgnAveLk6m4YvQbRX8Z4mXiBdHm07fPlO0EoIZnxMzATnEXUJ34u4zP&s=10
41,"DOMINO’S PIZZA",Pizzaria,"A Domino's é uma das redes de pizzaria mais conhecidas do mundo, oferecendo pizzas saborosas, com diferentes opções de massas, sabores e combinações. Uma escolha prática para quem quer aproveitar uma boa pizza em qualquer ocasião, seja em família, com amigos ou em um momento especial.","AV.AYRTON SENNA DA SILVA, 300",https://www.cidadeoferta.com.br/storage/offers/5602-dominos-pizza-londrina-grande-ou-media-12.jpg
